#Tempo    Entrada    Saída
0.392000    227.510818     227.510818
0.392500    233.241257     233.241257
0.393000    238.825943     238.825943
0.393500    244.261353     244.261353
0.394000    249.544128     249.544128
0.394500    254.670929     254.670929
0.395000    259.638580     259.638580
0.395500    264.443970     264.443970
0.396000    269.084076     269.084076
0.396500    273.556030     273.556030
0.397000    277.856995     277.856995
0.397500    281.984344     281.984344
0.398000    285.935425     285.935425
0.398500    289.707825     289.707825
0.399000    293.299164     293.299164
0.399500    296.707214     296.707214
0.400000    299.929810     299.929810
0.400500    302.964966     302.964966
0.401000    305.810791     305.810791
0.401500    308.465485     308.465485
0.402000    310.927399     310.927399
0.402500    313.194977     313.194977
0.403000    315.266846     315.266846
0.403500    317.141663     317.141663
0.404000    318.818298     318.818298
0.404500    320.295654     320.295654
0.405000    321.572845     321.572845
0.405500    322.649078     322.649078
0.406000    323.523651     323.523651
0.406500    324.196045     324.196045
0.407000    324.665833     324.665833
0.407500    324.932678     324.932678
0.408000    324.996490     324.996490
0.408500    324.857178     324.857178
0.409000    324.514832     324.514832
0.409500    323.969696     323.969696
0.410000    323.222076     323.222076
0.410500    322.272430     322.272430
0.411000    321.121399     321.121399
0.411500    319.769684     319.769684
0.412000    318.218109     318.218109
0.412500    316.467651     316.467651
0.413000    314.519440     314.519440
0.413500    312.374634     312.374634
0.414000    310.034607     310.034607
0.414500    307.500854     307.500854
0.415000    304.774872     304.774872
0.415500    301.858459     301.858459
0.416000    298.753357     298.753357
0.416500    295.461578     295.461578
0.417000    291.985138     291.985138
0.417500    288.326202     288.326202
0.418000    284.487061     284.487061
0.418500    280.470154     280.470154
0.419000    276.277954     276.277954
0.419500    271.913086     271.913086
0.420000    267.378265     267.378265
0.420500    262.676361     262.676361
0.421000    257.810303     257.810303
0.421500    252.783096     252.783096
0.422000    247.597931     247.597931
0.422500    242.258011     242.258011
0.423000    236.766693     236.766693
0.423500    231.127396     231.127396
0.424000    225.343658     225.343658
0.424500    219.419083     219.419083
0.425000    213.357391     213.357391
0.425500    207.162338     207.162338
0.426000    200.837830     200.837830
0.426500    194.387802     194.387802
0.427000    187.816284     187.816284
0.427500    181.127396     181.127396
0.428000    174.325302     174.325302
0.428500    167.414261     167.414261
0.429000    160.398590     160.398590
0.429500    153.282669     153.282669
0.430000    146.070969     146.070969
0.430500    138.767960     138.767960
0.431000    131.378235     131.378235
0.431500    123.906410     123.906410
0.432000    116.357140     116.357140
0.432500    108.735153     108.735153
0.433000    101.045204     101.045204
0.433500    93.292114     93.292114
0.434000    85.480713     85.480713
0.434500    77.615891     77.615891
0.435000    69.702560     69.702560
0.435500    61.745670     61.745670
0.436000    53.750191     53.750191
0.436500    45.721115     45.721115
0.437000    37.663471     37.663471
0.437500    29.582285     29.582285
0.438000    21.482613     21.482613
0.438500    13.369514     13.369514
0.439000    5.248059     5.248059
0.439500    -2.876676     2.876676
0.440000    -10.999612     10.999612
0.440500    -19.115675     19.115675
0.441000    -27.219790     27.219790
0.441500    -35.306892     35.306892
0.442000    -43.371933     43.371933
0.442500    -51.409863     51.409863
0.443000    -59.415668     59.415668
0.443500    -67.384338     67.384338
0.444000    -75.310890     75.310890
0.444500    -83.190384     83.190384
0.445000    -91.017883     91.017883
0.445500    -98.788498     98.788498
0.446000    -106.497375     106.497375
0.446500    -114.139694     114.139694
